Trade #,Type,Signal,Date/Time,Price USD,Contracts,Profit USD,Profit %,Cum. Profit USD,Cum. Profit %,Run-up USD,Run-up %,Drawdown USD,Drawdown %
622,Exit Long,win,2024-11-21 10:00,97661.97,0.94559,274.45,0.30,80456.03,0.15,360.35,0.39,1614.41,1.75
622,Entry Long,enter long,2024-11-21 05:30,97293.75,0.94559,274.45,0.30,80456.03,0.15,360.35,0.39,1614.41,1.75
621,Exit Long,win,2024-11-19 05:00,92453.14,1.007766,1097.12,1.19,80181.59,0.61,1153.39,1.25,67.94,0.07
621,Entry Long,enter long,2024-11-19 02:00,91290.98,1.007766,1097.12,1.19,80181.59,0.61,1153.39,1.25,67.94,0.07
620,Exit Long,win,2024-11-18 20:00,91388.69,1.01859,1013.65,1.10,79084.47,0.57,1210.19,1.31,50.52,0.05
620,Entry Long,enter long,2024-11-18 16:00,90320.86,1.01859,1013.65,1.10,79084.47,0.57,1210.19,1.31,50.52,0.05
619,Exit Long,win,2024-11-18 08:30,92353.31,1.011215,1314.98,1.43,78070.83,0.74,1588.78,1.73,1617.75,1.76
619,Entry Long,enter long,2024-11-18 04:00,90979.58,1.011215,1314.98,1.43,78070.83,0.74,1588.78,1.73,1617.75,1.76
618,Exit Long,win,2024-11-15 19:00,91651.57,1.012268,702.06,0.76,76755.84,0.40,808.72,0.88,36.80,0.04
618,Entry Long,enter long,2024-11-15 17:00,90885.00,1.012268,702.06,0.76,76755.84,0.40,808.72,0.88,36.80,0.04
617,Exit Long,win,2024-11-15 00:00,88293.61,1.047854,445.08,0.48,76053.78,0.25,604.31,0.66,749.04,0.81
617,Entry Long,enter long,2024-11-14 21:00,87798.42,1.047854,445.08,0.48,76053.78,0.25,604.31,0.66,749.04,0.81
616,Exit Long,loss,2024-11-14 00:30,90843.90,1.008494,-457.85,-0.50,75608.70,-0.26,0,0.00,3220.59,3.50
616,Entry Long,enter long,2024-11-13 12:00,91225.07,1.008494,-457.85,-0.50,75608.70,-0.26,0,0.00,3220.59,3.50
615,Exit Long,win,2024-11-13 06:00,88357.55,1.050184,717.78,0.78,76066.56,0.41,858.71,0.93,1490.32,1.62
615,Entry Long,enter long,2024-11-12 19:00,87603.69,1.050184,717.78,0.78,76066.56,0.41,858.71,0.93,1490.32,1.62
614,Exit Long,win,2024-11-08 22:30,76582.16,1.204143,142.25,0.15,75348.78,0.08,289.22,0.31,308.07,0.33
614,Entry Long,enter long,2024-11-08 15:30,76402.83,1.204143,142.25,0.15,75348.78,0.08,289.22,0.31,308.07,0.33
613,Exit Long,loss,2024-11-07 01:30,75139.55,1.222776,-194.67,-0.21,75206.53,-0.11,946.23,1.03,985.39,1.07
613,Entry Long,enter long,2024-11-06 17:00,75238.60,1.222776,-194.67,-0.21,75206.53,-0.11,946.23,1.03,985.39,1.07
612,Exit Long,win,2024-11-06 11:00,75007.02,1.240281,955.78,1.04,75401.20,0.55,1010.69,1.10,1899.89,2.06
612,Entry Long,enter long,2024-11-06 00:00,74176.73,1.240281,955.78,1.04,75401.20,0.55,1010.69,1.10,1899.89,2.06
611,Exit Long,win,2024-11-05 17:00,70348.02,1.332378,1655.88,1.80,74445.41,0.96,1731.59,1.88,308.39,0.34
611,Entry Long,enter long,2024-11-05 12:30,69049.46,1.332378,1655.88,1.80,74445.41,0.96,1731.59,1.88,308.39,0.34
610,Exit Long,win,2024-11-04 20:00,68086.85,1.360322,546.25,0.59,72789.53,0.32,588.25,0.64,251.42,0.27
610,Entry Long,enter long,2024-11-04 18:00,67631.00,1.360322,546.25,0.59,72789.53,0.32,588.25,0.64,251.42,0.27
609,Exit Long,loss,2024-11-04 15:30,67906.58,1.340019,-1077.09,-1.17,72243.28,-0.62,136.37,0.15,2490.44,2.71
609,Entry Long,enter long,2024-11-04 06:30,68655.74,1.340019,-1077.09,-1.17,72243.28,-0.62,136.37,0.15,2490.44,2.71
608,Exit Long,win,2024-11-03 09:00,68409.95,1.345607,-20.67,-0.02,73320.37,-0.01,234.00,0.25,1233.72,1.34
608,Entry Long,enter long,2024-11-03 01:30,68370.60,1.345607,-20.67,-0.02,73320.37,-0.01,234.00,0.25,1233.72,1.34
607,Exit Long,win,2024-11-02 01:30,69789.08,1.322998,257.15,0.28,73341.04,0.15,297.46,0.32,140.03,0.15
607,Entry Long,enter long,2024-11-01 22:00,69538.98,1.322998,257.15,0.28,73341.04,0.15,297.46,0.32,140.03,0.15
606,Exit Long,win,2024-11-01 04:00,69934.49,1.32801,799.79,0.87,73083.89,0.46,842.00,0.91,331.13,0.36
606,Entry Long,enter long,2024-11-01 00:00,69276.56,1.32801,799.79,0.87,73083.89,0.46,842.00,0.91,331.13,0.36
605,Exit Long,win,2024-10-30 03:30,72555.36,1.268942,-5.03,-0.01,72284.10,0.00,527.75,0.57,863.02,0.94
605,Entry Long,enter long,2024-10-29 13:30,72501.30,1.268942,-5.03,-0.01,72284.10,0.00,527.75,0.57,863.02,0.94
604,Exit Long,win,2024-10-28 12:30,69203.65,1.343019,867.86,0.94,72289.13,0.51,940.90,1.02,148.31,0.16
604,Entry Long,enter long,2024-10-28 09:00,68502.37,1.343019,867.86,0.94,72289.13,0.51,940.90,1.02,148.31,0.16
603,Exit Long,win,2024-10-26 03:00,67168.30,1.373672,193.55,0.21,71421.27,0.11,258.33,0.28,57.86,0.06
603,Entry Long,enter long,2024-10-26 01:30,66973.74,1.373672,193.55,0.21,71421.27,0.11,258.33,0.28,57.86,0.06
602,Exit Long,win,2024-10-25 21:00,66855.08,1.382318,341.28,0.37,71227.72,0.20,486.77,0.53,1441.69,1.57
602,Entry Long,enter long,2024-10-25 16:30,66554.83,1.382318,341.28,0.37,71227.72,0.20,486.77,0.53,1441.69,1.57
601,Exit Long,win,2024-10-25 03:30,67787.91,1.359275,68.80,0.07,70886.44,0.04,165.84,0.18,657.13,0.71
601,Entry Long,enter long,2024-10-24 22:00,67683.11,1.359275,68.80,0.07,70886.44,0.04,165.84,0.18,657.13,0.71
600,Exit Long,win,2024-10-24 05:30,67217.38,1.371744,131.41,0.14,70817.65,0.08,219.17,0.24,551.19,0.60
600,Entry Long,enter long,2024-10-24 00:30,67067.87,1.371744,131.41,0.14,70817.65,0.08,219.17,0.24,551.19,0.60
599,Exit Long,win,2024-10-23 13:30,66381.06,1.392068,333.19,0.36,70686.24,0.20,520.81,0.57,1285.96,1.40
599,Entry Long,enter long,2024-10-23 09:00,66088.72,1.392068,333.19,0.36,70686.24,0.20,520.81,0.57,1285.96,1.40
598,Exit Long,loss,2024-10-23 07:30,66747.85,1.375275,-276.87,-0.30,70353.05,-0.16,82.09,0.09,1166.93,1.27
598,Entry Long,enter long,2024-10-23 00:30,66895.71,1.375275,-276.87,-0.30,70353.05,-0.16,82.09,0.09,1166.93,1.27
